entry_bar,exit_bar,dir,entry,exit,size,pnl_dollar,pnl_r,window,class
1955,1976,-1,934.6173481,934.6173481,3149.623585,-0.000000,-0.000000,-1,0
1935,1980,-1,995.0606405,995.0606405,1795.244589,-0.000000,-0.000000,-1,0
1995,2018,1,1102.024827,1102.024827,2596.760382,0.000000,0.000000,-1,0
2029,2037,1,1144.781593,1122.509267,2761.842611,-61512.659247,-1.000000,-1,-1
1990,2045,1,1075.383828,1189.811657,2687.836492,307563.296234,5.000000,-1,1
2046,2049,1,1183.293974,1160.154465,2364.858343,-54721.661666,-1.000000,-1,-1
2044,2049,1,1164.637531,1164.637531,1101.994935,0.000000,0.000000,-1,0
2056,2071,1,1196.60724,1307.094272,1513.07057,167174.676390,5.000000,-1,1
2061,2077,1,1226.151894,1342.782157,1433.373059,167174.676390,5.000000,-1,1
2079,2082,1,1366.955532,1342.128695,3070.534166,-76231.652434,-1.000000,-1,-1
2072,2098,1,1316.880281,1436.958417,2568.996529,308480.314452,5.389186,-1,1
2091,2099,1,1385.11606,1520.305526,1096.197335,148194.332331,5.000000,-1,1
2099,2136,1,1511.553925,1698.751306,1961.313283,367152.709755,5.547145,-1,1
2100,2136,1,1520.90081,1699.273276,2632.774645,469614.504903,5.405071,-1,1
2138,2175,1,1723.84556,1896.443585,3195.677885,551567.691429,5.000000,-1,1
2139,2175,1,1725.373316,1890.356546,3343.174289,551567.691429,5.000000,-1,1
2177,2181,1,1903.337879,1903.337879,4381.184039,0.000000,0.000000,-1,0
2178,2182,1,1921.955541,1888.046542,4164.125617,-141201.329006,-1.000000,-1,-1
2192,2201,1,1942.006531,2121.372336,1530.366301,274495.383587,5.000000,-1,1
2191,2202,1,1940.440455,2126.679259,1473.889317,274495.383587,5.000000,-1,1
2203,2208,1,2095.97538,2095.97538,3130.434054,0.000000,0.000000,-1,0
2202,2222,1,2121.93466,2074.945184,2467.506777,-115946.850027,-1.000000,-1,-1
2242,2250,1,2111.884508,2111.884508,1560.370783,0.000000,0.000000,-1,0
2257,2258,1,2166.385938,2132.257275,2188.379379,-74686.460737,-1.000000,-1,-1
2241,2285,1,2089.864084,2333.879939,1611.137527,393143.101248,6.579892,-1,1
2278,2300,1,2246.065311,2456.306898,1401.071055,294563.401146,5.000000,-1,1
2286,2307,1,2344.440537,2585.299141,3045.936051,733639.903129,5.793490,-1,1
2301,2313,1,2457.509749,2672.361575,4645.620937,998120.142512,5.993366,-1,1
2314,2316,1,2697.110932,2645.060184,4131.098452,-215026.763918,-1.000000,-1,-1
2308,2327,1,2577.454353,2815.511334,3929.298752,935396.999639,5.000000,-1,1
2328,2334,1,2818.058251,2818.058251,3813.2055,0.000000,0.000000,-1,0
2323,2369,1,2734.324771,2990.806687,1629.791437,418012.029057,5.000000,-1,1
2367,2381,1,2939.502249,3159.745459,4805.537873,1058387.087333,5.000000,-1,1
2370,2383,1,2982.770195,3211.483179,5397.626823,1234507.336660,5.000000,-1,1
2382,2404,1,3182.748988,3420.337287,5819.843427,1382726.699636,5.000163,-1,1
2385,2430,1,3258.661529,3517.57666,6007.808616,1555512.556019,5.000000,-1,1
2423,2431,1,3486.397153,3421.078157,5355.545584,-349818.858794,-1.000000,-1,-1
2438,2455,1,3546.409744,3897.365291,2185.908072,767156.564632,5.000000,-1,1
2439,2458,1,3634.873028,4033.055856,1926.644021,767156.564632,5.000000,-1,1
2456,2476,1,3921.394484,4332.763512,3938.640375,1620234.664502,5.000000,-1,1
2477,2480,1,4312.631527,4312.631527,6197.957215,0.000000,0.000000,-1,0
2459,2499,1,4067.999811,4067.999811,4827.078686,0.000000,0.000000,-1,0
2508,2518,1,4197.944355,4197.944355,5839.547692,0.000000,0.000000,-1,0
2509,2518,1,4204.302707,4204.302707,6110.722481,0.000000,0.000000,-1,0
2541,2552,1,4270.369594,4270.369594,6571.416991,0.000000,0.000000,-1,0
2559,2563,1,4445.305529,4366.148039,5961.604089,-471905.620541,-1.000000,-1,-1
2542,2564,1,4292.368479,4292.368479,6687.726447,0.000000,0.000000,-1,0
2606,2627,1,4461.385116,4892.531676,2659.723547,1146730.657915,5.000000,-1,1
2607,2629,1,4449.013565,4883.4894,2734.086448,1187894.489943,5.179483,-1,1
2636,2640,1,5066.841674,4982.704775,6228.67932,-524061.767306,-1.000000,-1,-1
2637,2640,1,5060.082714,4979.854632,6532.148732,-524061.767306,-1.000000,-1,-1
2652,2672,1,5020.353505,5483.003182,2138.613008,989428.616674,5.000000,-1,1
2653,2687,1,5055.777074,5558.063771,2119.39938,1064546.116011,5.379600,-1,1
2681,2695,1,5500.755566,6041.053476,3867.631536,2089673.238416,5.000000,-1,1
2691,2713,1,5629.519073,6345.19599,5103.866315,3652719.309197,6.614542,-1,1
2696,2719,1,6029.36924,6724.01622,4396.020344,3053682.257640,5.000000,-1,1
2714,2727,1,6482.711936,7189.607445,5043.267239,3565062.960927,5.000000,-1,1
2728,2734,1,7229.819241,7084.067155,6163.462111,-898337.458305,-1.000000,-1,-1
2720,2742,1,6805.18696,7517.885081,5602.061182,3992578.476997,5.000000,-1,1
2741,2769,1,7557.039531,8338.072784,2235.971401,1746368.018946,5.000000,-1,1
2743,2771,1,7535.201228,8306.855104,5200.605927,4013067.719198,5.092849,-1,1
2773,2801,1,8424.677064,8424.677064,6570.813895,0.000000,0.000000,-1,0
2770,2804,1,8395.52357,8395.52357,5913.302253,0.000000,0.000000,-1,0
2856,2857,1,8803.03231,8593.550874,5471.799458,-1146240.407497,-1.000000,-1,-1
3122,3147,1,8348.164525,9155.955937,2758.498444,2228291.352174,5.000000,-1,1
3121,3163,1,8309.802491,10213.03283,2679.392244,5099500.602209,11.442625,-1,1
3148,3163,1,9234.493418,10199.21875,5058.677464,4880234.282103,5.184953,-1,1
3172,3172,1,10724.7842,10528.87784,7431.971253,-1455970.410708,-1.000000,-1,-1
3171,3199,1,10699.53296,11717.09998,7154.174494,7279852.053542,5.000000,-1,1
3179,3202,1,10903.07879,11937.23686,2736.918614,2830406.478417,5.000000,-1,1
3203,3216,1,12014.96167,13037.98836,8300.323395,8491452.390517,5.000000,-1,1
3200,3217,1,11838.17173,12924.46029,6040.216413,6561417.959664,5.065827,-1,1
3217,3217,1,13034.79633,12801.19228,8287.746474,-1936051.145038,-1.000000,-1,-1
3227,3255,1,13315.00877,14722.92581,2934.20898,4131122.831695,5.000000,-1,1
3228,3260,1,13523.44289,14984.00087,2828.455212,4131122.831695,5.000000,-1,1
3256,3277,1,14941.20614,16474.11405,5691.751842,8724931.420540,5.000000,-1,1
3265,3282,1,15466.3766,16906.33929,7975.568761,11484521.472112,5.000000,-1,1
3281,3292,1,16770.72272,18068.94266,9787.256778,12706011.870987,5.000000,-1,1
3283,3298,1,17147.12521,18617.88801,9732.259273,14313844.877083,5.000000,-1,1
3293,3300,1,18059.03623,18059.03623,9453.657443,0.000000,0.000000,-1,0
3313,3317,1,18823.31594,18515.11535,11743.40724,-3619324.964363,-1.000000,-1,-1
3324,3337,1,19354.33877,21162.0731,3892.147008,7035967.730721,5.000000,-1,1
3325,3341,1,19647.4449,21546.33446,3705.306452,7035967.730721,5.000000,-1,1
3338,3352,1,21214.4319,23338.15477,6997.129465,14859963.847282,5.000000,-1,1
3342,3359,1,21633.53367,23767.05204,9167.950278,19559990.291404,5.000000,-1,1
3361,3365,1,24374.24625,23861.93783,9517.229465,-4875756.774164,-1.000000,-1,-1
3353,3379,1,23270.51101,25733.3593,8786.730916,21640385.230023,5.000000,-1,1
3372,3400,1,25030.07445,27445.49901,3924.142909,9478471.168975,5.000000,-1,1
3380,3407,1,25810.03231,27883.48759,10311.6116,21380665.483712,5.000000,-1,1
3408,3436,1,27971.16432,27971.16432,14288.39556,0.000000,0.000000,-1,0
3407,3436,1,27839.37556,27839.37556,12853.76213,0.000000,0.000000,-1,0
3474,3511,1,30773.14237,30773.14237,11908.55624,0.000000,0.000000,-1,0
3447,3530,1,29274.91026,32485.81948,9668.946981,31046110.986016,5.000000,-1,1
3531,3536,1,33066.37706,33066.37706,10334.17426,0.000000,0.000000,-1,0
3528,3560,1,32192.8346,35493.47722,9406.080741,31046110.986016,5.000000,-1,1
3556,3600,1,34613.16071,39750.70987,11452.99512,58840325.448815,8.312526,-1,1
3561,3600,1,35452.90849,39747.02072,12750.77517,54753259.524662,6.889105,-1,1
3602,3624,1,40916.0331,44677.69185,14791.91167,55642123.958388,5.000000,-1,1
3603,3624,1,41312.32865,45121.83804,14606.11282,55642123.958388,5.000000,-1,1
3651,3674,1,45770.82929,45770.82929,12855.06061,0.000000,0.000000,-1,0
3652,3674,1,45540.03316,45540.03316,13004.89823,0.000000,0.000000,-1,0
3682,3684,1,47373.75402,46460.66304,15600.18008,-14244383.733347,-1.000000,-1,-1
3683,3684,1,47550.3219,46670.37155,16187.71295,-14244383.733347,-1.000000,-1,-1
3702,3731,1,48648.9596,48648.9596,5163.290045,0.000000,0.000000,-1,0
3703,3732,1,48481.97601,48481.97601,5267.831406,0.000000,0.000000,-1,0
3743,3757,1,50439.53715,55712.53378,9978.929338,52618860.784141,6.521906,-1,1
3744,3757,1,50855.19241,55703.46125,9821.485983,47617204.486798,5.901970,-1,1
3759,3770,1,55791.31246,55791.31246,12906.93805,0.000000,0.000000,-1,0
3758,3782,1,55140.70047,61274.35445,13249.28674,81266540.359330,5.000000,-1,1
3801,3809,1,63473.81384,63473.81384,14237.12021,0.000000,0.000000,-1,0
3777,3816,1,59627.15053,66053.42207,12645.98607,81266540.359330,5.000000,-1,1
3817,3836,1,66325.15899,66325.15899,15829.27118,0.000000,0.000000,-1,0
3816,3838,1,65985.20836,65985.20836,13613.77133,0.000000,0.000000,-1,0
3868,3871,1,63740.93548,62475.40555,16439.14841,-20804234.331989,-1.000000,-1,-1
3889,3893,1,64659.10842,64659.10842,5790.55876,0.000000,0.000000,-1,0
3888,3895,1,63887.55211,63887.55211,5902.47409,0.000000,0.000000,-1,0
3939,3971,1,67628.61967,74199.36007,9232.619712,60665147.312079,5.000000,-1,1
3986,3991,1,76469.46869,76469.46869,12874.95984,0.000000,0.000000,-1,0
3940,3991,1,69509.23199,76861.02488,8251.748681,60665147.312079,5.000000,-1,1
4044,4047,-1,64150.75115,65353.27171,19641.21435,-23618964.020169,-1.000000,-1,-1
4069,4071,-1,64024.76971,64024.76971,7450.7824,-0.000000,-0.000000,-1,0
4068,4096,-1,64574.48852,58404.28552,7441.451454,45915266.055209,5.000000,-1,1
4116,4118,-1,56981.3525,57841.94176,22536.42843,-19394608.381720,-1.000000,-1,-1
4129,4151,-1,58360.65097,52583.01972,9357.753973,54065651.814631,5.703077,-1,1
4077,4151,-1,61721.96646,52777.72106,8889.917649,79513605.063600,6.926986,-1,1
4176,4208,-1,50912.54345,45651.85332,26080.63766,137202153.175264,5.000000,-1,1
4175,4227,-1,51574.37674,41711.57452,26917.05335,265477573.597588,9.674687,-1,1
4209,4238,-1,45045.29736,39868.85448,30215.81775,156410454.619800,5.000000,-1,1
4234,4246,-1,40290.4563,35905.70116,44147.80499,193577314.923463,5.000000,-1,1
4241,4254,-1,38700.89799,34510.4637,51420.63181,215474778.570235,5.000000,-1,1
4247,4302,-1,35942.52724,31177.34123,50905.7993,242575602.659520,5.000000,-1,1
4303,4316,-1,31087.07202,31762.1377,90866.01944,-61340531.206337,-1.000000,-1,-1
4255,4325,-1,34471.4597,30415.36223,67242.48457,272742071.659353,5.000000,-1,1
4326,4355,-1,30424.19043,30424.19043,82595.69092,-0.000000,-0.000000,-1,0
4327,4355,-1,30401.01913,30401.01913,86210.0334,-0.000000,-0.000000,-1,0
4364,4366,-1,28308.52931,29040.54927,91882.43266,-67259774.339021,-1.000000,-1,-1
4363,4430,-1,29216.41874,24645.69694,103276.9405,472050163.274133,7.018313,0,1
4393,4475,-1,27276.19299,24046.32589,41284.08038,133342092.943266,5.099007,0,1
4452,4496,-1,24972.699,24972.699,112286.6021,-0.000000,-0.000000,0,0
4538,4543,-1,24028.4389,24028.4389,190667.8778,-0.000000,-0.000000,0,0
4534,4544,-1,24554.00271,24554.00271,212708.666,-0.000000,-0.000000,0,0
4587,4598,1,29130.04884,29130.04884,97243.34664,0.000000,0.000000,0,0
4586,4609,1,28457.51946,32428.8771,103651.561,411637419.158080,5.000000,0,1
4619,4619,1,32975.93546,32056.65799,102094.6725,-93853331.568042,-1.000000,0,-1
4604,4628,1,30834.55394,35309.39686,91989.24425,411637419.158081,5.000000,0,1
4626,4633,1,34161.42284,39244.70752,35892.31925,182450876.568274,5.000000,0,1
4629,4635,1,35432.53407,40520.78374,80775.34925,411005144.082253,5.000000,0,1
4634,4642,1,40180.2608,40180.2608,78392.82522,0.000000,0.000000,0,0
4636,4642,1,41537.40898,40116.69169,84019.56876,-119368054.598778,-1.000000,0,-1
4663,4668,1,42585.33009,42585.33009,38621.22366,0.000000,0.000000,0,0
4658,4684,1,40963.35833,40963.35833,35973.34376,0.000000,0.000000,0,0
4696,4703,1,42641.66596,42641.66596,59525.31158,0.000000,0.000000,0,0
4697,4703,1,44064.93241,42754.30389,53116.07994,-69615449.442007,-1.000000,0,-1
5039,5042,-1,20358.57267,20747.10841,117442.493,-45630606.594255,-1.000000,1,-1
5038,5045,-1,20528.38965,20919.06528,116799.2141,-45630606.594254,-1.000000,1,-1
5056,5074,-1,20368.0586,18826.88377,144722.3249,223042405.032716,5.000000,1,1
5057,5074,-1,20312.33263,18791.30807,146639.5814,223042405.032716,5.000000,1,1
5080,5083,-1,18161.73171,18161.73171,399251.9377,-0.000000,-0.000000,1,0
5076,5092,-1,18468.25941,16825.73931,377503.9868,620057885.990950,5.000000,1,1
5094,5103,-1,16508.75972,16508.75972,327062.4283,-0.000000,-0.000000,1,0
5132,5150,-1,15721.14547,14094.71317,434611.3816,706865990.029683,5.000000,1,1
5087,5151,-1,17487.42753,14204.05928,329896.5936,1083172002.693366,8.734443,1,1
5151,5204,-1,13980.22519,12274.47678,512430.0582,874076759.867672,5.423475,1,1
5182,5229,-1,13255.49051,13255.49051,703889.8373,-0.000000,-0.000000,1,0
5242,5243,-1,12836.71095,13118.7172,765828.4542,-215968411.078477,-1.000000,1,-1
5260,5291,-1,13074.61534,11490.56165,335850.5869,532005361.116659,6.335772,1,1
5267,5291,-1,12773.51768,11475.56335,323464.8425,419842591.136559,5.000000,1,1
5292,5358,-1,11466.30008,8667.845501,909618.0915,2545524917.373673,10.759996,1,1
5299,5358,-1,11024.85055,8652.951431,990664.9116,2349757230.555796,9.932481,1,1
5369,5375,-1,8591.218427,8728.972304,2712380.577,-373640938.373396,-1.000000,1,-1
5382,5411,-1,8402.506445,7748.665408,1110909.141,726357984.197880,5.000000,1,1
5413,5415,-1,7642.041059,7642.041059,2278584.027,-0.000000,-0.000000,1,0
5384,5415,-1,8272.490631,7512.30172,1063145.503,808191422.559416,5.563313,1,1
5459,5461,-1,7550.715133,7550.715133,2278326.757,-0.000000,-0.000000,1,0
5493,5511,-1,6650.458736,6650.458736,2955192.254,-0.000000,-0.000000,1,0
5475,5535,-1,7247.520944,5872.809041,2195298.365,3017902790.907646,7.430579,1,1
5515,5548,-1,6415.082517,5668.964111,2721728.699,2030731877.440720,5.000000,1,1
5550,5555,-1,5606.518929,5606.518929,5083247.995,-0.000000,-0.000000,1,0
5554,5555,-1,5504.153754,5603.864747,5490950.703,-547508146.201899,-1.000000,1,-1
5582,5584,-1,5188.550257,5326.240172,1546018.582,-212871167.243298,-1.000000,1,-1
5580,5589,-1,5339.30094,5339.30094,1643255.103,-0.000000,-0.000000,1,0
5813,5839,1,6106.847799,6856.451156,1754986.555,1315543813.563581,5.000000,2,1
5812,5842,1,6051.387561,6913.154689,1736844.43,1496755436.346671,5.688733,2,1
5841,5846,1,6969.673959,6794.8057,2575894.584,-450442201.764171,-1.000000,2,-1
5854,5856,1,7012.002444,6814.167329,1197663.059,-236939809.109409,-1.000000,2,-1
5866,5874,1,7319.221828,8341.087145,1146364.786,1171430416.236918,5.000000,2,1
5855,5881,1,6955.837424,8402.592187,1219499.533,1764316757.236281,7.446266,2,1
5875,5882,1,8297.355635,8297.355635,2050054.407,0.000000,0.000000,2,0
5907,5926,1,8694.280902,9891.343829,2789812.106,3339580644.878547,5.000000,2,1
5910,5936,1,8909.421981,10423.13342,2532051.148,3832794798.455602,5.738437,2,1
5927,5948,1,9822.940492,11168.34842,2829715.697,3807121935.161544,5.000000,2,1
5943,5956,1,10833.02234,12411.90697,3088142.361,4875820509.402637,5.612503,2,1
5957,5959,1,12469.11946,12144.38523,3423923.083,-1111865029.836860,-1.000000,2,-1
5949,5964,1,11353.45149,12804.55365,3360693.968,4876710277.867942,5.000000,2,1
5967,5973,1,13008.85348,12657.80731,2774064.031,-973824557.425385,-1.000000,2,-1
5966,5982,1,12870.16668,12524.81072,2819770.53,-973824557.425387,-1.000000,2,-1
6358,6379,1,29109.20307,32062.62097,787390.4481,2325493043.131823,5.000000,3,1
6359,6380,1,28962.30928,31875.03198,798391.4973,2325493043.131823,5.000000,3,1
6380,6399,1,32010.98043,34742.47857,1798076.018,4911441307.094410,5.000000,3,1
6407,6412,1,35928.98229,35928.98229,2304201.52,0.000000,0.000000,3,0
6384,6412,1,32768.38174,36233.10346,2006344.867,6951426634.508961,5.376308,3,1
6420,6441,1,37149.1303,40385.61434,2510647.989,8125672171.730941,5.000000,3,1
6421,6474,1,37685.66789,37685.66789,2331036.051,0.000000,0.000000,3,0
6493,6520,1,38397.36468,42120.4471,2488063.714,9263266275.773264,5.000000,3,1
6496,6528,1,39148.78218,42831.66383,2515222.357,9263266275.773262,5.000000,3,1
6532,6556,1,44673.13939,44673.13939,2779913.988,0.000000,0.000000,3,0
6529,6559,1,43736.4132,43736.4132,2845720.634,0.000000,0.000000,3,0
6588,6598,1,45430.76924,49150.49967,3187591.424,11856980832.989788,5.000000,3,1
6593,6602,1,46599.91601,50693.01158,2896824.818,11856980832.989794,5.000000,3,1
6599,6604,1,49764.27533,49764.27533,2513258.392,0.000000,0.000000,3,0
6603,6604,1,51206.08797,50147.27067,2866771.352,-3035387093.245388,-1.000000,3,-1
6611,6640,1,51893.97734,57013.84667,1152527.953,5900792509.269029,5.000000,3,1
6641,6645,1,56943.42735,56943.42735,2921339.086,0.000000,0.000000,3,0
6613,6645,1,52876.55945,58308.57465,1086298.967,5900792509.269026,5.000000,3,1
6656,6670,1,59947.55535,65247.85943,3094955.104,16404203175.767897,5.000000,3,1
6653,6672,1,58503.63405,65215.27287,3252670.846,21830751928.590389,6.654012,3,1
6696,6700,1,67979.57265,66797.50398,3681190.007,-4351419378.075634,-1.000000,3,-1
6671,6726,1,65550.02377,71445.38342,3172120.571,18700791620.375420,5.000000,3,1
6725,6728,1,70336.35073,70336.35073,1247994.593,0.000000,0.000000,3,0
6727,6728,1,71849.90868,70424.97084,2668580.581,-3802561440.688010,-1.000000,3,-1
6747,6790,1,73705.46733,81777.95667,1151250.843,9293460161.041481,5.000000,3,1
6748,6790,1,73960.08932,81699.29989,1200827.923,9293460161.041483,5.000000,3,1
6791,6809,1,82881.97328,90840.38118,3246355.248,25835819247.695328,5.000000,3,1
6793,6824,1,84797.58968,99396.9672,3075821.91,44905085217.020851,8.690471,3,1
6810,6828,1,92028.77026,101175.0273,3220206.236,29452833942.372669,5.000000,3,1
6831,6834,1,104735.8322,104735.8322,3800071.727,0.000000,0.000000,3,0
6846,6849,1,107792.0514,105755.0657,3913914.913,-7972588524.937549,-1.000000,3,-1
6830,6852,1,103092.5913,103092.5913,4135667.99,0.000000,0.000000,3,0
6863,6869,1,110040.7249,110040.7249,1817968.319,0.000000,0.000000,3,0
6876,6895,1,110976.5512,127154.9876,1436978.682,23248068138.717888,5.000000,3,1
6878,6903,1,114840.5791,131575.1059,1389227.693,23248068138.717884,5.000000,3,1
6896,6905,1,128232.8599,128232.8599,2612818.073,0.000000,0.000000,3,0
6912,6925,1,132555.7792,145420.9262,3517739.77,45256239310.037483,5.000000,3,1
